Date,Open,High,Low,Close,Adj Close,Volume
2014-03-17,23.940001,23.940001,23.940001,23.940001,19.851826,0
2014-03-18,24.190001,24.190001,24.190001,24.190001,20.059134,0
2014-03-19,24.059999,24.059999,24.059999,24.059999,19.951336,0
2014-03-20,24.139999,24.139999,24.139999,24.139999,20.017666,0
2014-03-21,24.160000,24.160000,24.160000,24.160000,20.034258,0
2014-03-24,23.969999,23.969999,23.969999,23.969999,19.879992,0
2014-03-25,24.000000,24.000000,24.000000,24.000000,19.904873,0
2014-03-26,23.700001,23.700001,23.700001,23.700001,19.656069,0
2014-03-27,23.610001,23.610001,23.610001,23.610001,19.581423,0
2014-03-28,23.719999,23.719999,23.719999,23.719999,19.672647,0
2014-03-31,24.120001,24.120001,24.120001,24.120001,20.004398,0
2014-04-01,24.360001,24.360001,24.360001,24.360001,20.203447,0
2014-04-02,24.469999,24.469999,24.469999,24.469999,20.294678,0
2014-04-03,24.400000,24.400000,24.400000,24.400000,20.236624,0
2014-04-04,24.010000,24.010000,24.010000,24.010000,19.913172,0
2014-04-07,23.660000,23.660000,23.660000,23.660000,19.622890,0
2014-04-08,23.799999,23.799999,23.799999,23.799999,19.739000,0
2014-04-09,24.030001,24.030001,24.030001,24.030001,19.929754,0
2014-04-10,23.549999,23.549999,23.549999,23.549999,19.531658,0
2014-04-11,23.260000,23.260000,23.260000,23.260000,19.291138,0
2014-04-14,23.360001,23.360001,23.360001,23.360001,19.374079,0
2014-04-15,23.480000,23.480000,23.480000,23.480000,19.473598,0
2014-04-16,23.709999,23.709999,23.709999,23.709999,19.664360,0
2014-04-17,23.820000,23.820000,23.820000,23.820000,19.755585,0
2014-04-21,23.879999,23.879999,23.879999,23.879999,19.805351,0
2014-04-22,24.080000,24.080000,24.080000,24.080000,19.971218,0
2014-04-23,24.020000,24.020000,24.020000,24.020000,19.921469,0
2014-04-24,24.000000,24.000000,24.000000,24.000000,19.904873,0
2014-04-25,23.719999,23.719999,23.719999,23.719999,19.672647,0
2014-04-28,23.650000,23.650000,23.650000,23.650000,19.614594,0
2014-04-29,23.690001,23.690001,23.690001,23.690001,19.647774,0
2014-04-30,23.840000,23.840000,23.840000,23.840000,19.772175,0
2014-05-01,23.870001,23.870001,23.870001,23.870001,19.797054,0
2014-05-02,23.920000,23.920000,23.920000,23.920000,19.838524,0
2014-05-05,23.870001,23.870001,23.870001,23.870001,19.797054,0
2014-05-06,23.650000,23.650000,23.650000,23.650000,19.614594,0
2014-05-07,23.790001,23.790001,23.790001,23.790001,19.730709,0
2014-05-08,23.650000,23.650000,23.650000,23.650000,19.614594,0
2014-05-09,23.740000,23.740000,23.740000,23.740000,19.689236,0
2014-05-12,24.139999,24.139999,24.139999,24.139999,20.020983,0
2014-05-13,24.000000,24.000000,24.000000,24.000000,19.904873,0
2014-05-14,23.719999,23.719999,23.719999,23.719999,19.672647,0
2014-05-15,23.530001,23.530001,23.530001,23.530001,19.515070,0
2014-05-16,23.639999,23.639999,23.639999,23.639999,19.606295,0
2014-05-19,23.820000,23.820000,23.820000,23.820000,19.755585,0
2014-05-20,23.549999,23.549999,23.549999,23.549999,19.531658,0
2014-05-21,23.660000,23.660000,23.660000,23.660000,19.622890,0
2014-05-22,23.790001,23.790001,23.790001,23.790001,19.730709,0
2014-05-23,23.990000,23.990000,23.990000,23.990000,19.896582,0
2014-05-27,24.200001,24.200001,24.200001,24.200001,20.070749,0
2014-05-28,24.160000,24.160000,24.160000,24.160000,20.037573,0
2014-05-29,24.250000,24.250000,24.250000,24.250000,20.112211,0
2014-05-30,24.219999,24.219999,24.219999,24.219999,20.087336,0
2014-06-02,24.250000,24.250000,24.250000,24.250000,20.112211,0
2014-06-03,24.230000,24.230000,24.230000,24.230000,20.095625,0
2014-06-04,24.360001,24.360001,24.360001,24.360001,20.203447,0
2014-06-05,24.700001,24.700001,24.700001,24.700001,20.485435,0
2014-06-06,24.870001,24.870001,24.870001,24.870001,20.626429,0
2014-06-09,24.990000,24.990000,24.990000,24.990000,20.725945,0
2014-06-10,24.940001,24.940001,24.940001,24.940001,20.684481,0
2014-06-11,24.830000,24.830000,24.830000,24.830000,20.593250,0
2014-06-12,24.680000,24.680000,24.680000,24.680000,20.468845,0
2014-06-13,24.750000,24.750000,24.750000,24.750000,20.526899,0
2014-06-16,24.750000,24.750000,24.750000,24.750000,20.526899,0
2014-06-17,24.950001,24.950001,24.950001,24.950001,20.692776,0
2014-06-18,25.070000,25.070000,25.070000,25.070000,20.792303,0
2014-06-19,25.100000,25.100000,25.100000,25.100000,20.817177,0
2014-06-20,25.160000,25.160000,25.160000,25.160000,20.866941,0
2014-06-23,25.110001,25.110001,25.110001,25.110001,20.825476,0
2014-06-24,24.910000,24.910000,24.910000,24.910000,20.659607,0
2014-06-25,25.080000,25.080000,25.080000,25.080000,20.800594,0
2014-06-26,25.049999,25.049999,25.049999,25.049999,20.775711,0
2014-06-27,25.190001,25.190001,25.190001,25.190001,20.891821,0
2014-06-30,25.260000,25.260000,25.260000,25.260000,20.949886,0
